task_id	tag	name	cpus	status	exit	duration	realtime	%cpu	rss
5	S. cerevisiae S288C > ERR422544 > ERR422544	SRAFetch (S. cerevisiae S288C > ERR422544 > ERR422544)	16	COMPLETED	0	1m 59s	1m 48s	102.6%	122.4 MB
7	S. cerevisiae S288C > ERR422544 > ERR422544	ConcatPariedEndFiles (S. cerevisiae S288C > ERR422544 > ERR422544)	16	COMPLETED	0	29.7s	17.5s	191.1%	2.9 MB
4	L. monocytogenes FSL R2-561 > SRR1198952 > SRR1198952	SRAFetch (L. monocytogenes FSL R2-561 > SRR1198952 > SRR1198952)	16	COMPLETED	0	3m 19s	3m 12s	100.9%	12.6 MB
9	L. monocytogenes FSL R2-561 > SRR1198952 > SRR1198952	ConcatPariedEndFiles (L. monocytogenes FSL R2-561 > SRR1198952 > SRR1198952)	16	COMPLETED	0	34.8s	22.9s	192.8%	2.9 MB
6	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651847	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651847)	16	COMPLETED	0	2m 40s	2m 30s	101.0%	31 MB
11	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651847	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651847)	16	COMPLETED	0	34.8s	21.5s	190.1%	2.9 MB
10	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651849	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651849)	16	COMPLETED	0	1m 55s	1m 44s	100.4%	30.6 MB
8	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651848	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651848)	16	COMPLETED	0	3m 55s	3m 46s	101.0%	36.9 MB
13	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651849	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651849)	16	COMPLETED	0	1m 40s	15.4s	191.4%	2.9 MB
15	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651848	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651848)	16	COMPLETED	0	1m 20s	32.6s	192.0%	2.9 MB
12	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651850	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651850)	16	COMPLETED	0	3m 30s	2m 3s	101.0%	30.5 MB
17	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651850	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651850)	16	COMPLETED	0	29.8s	17.6s	193.4%	2.9 MB
14	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651851	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651851)	16	COMPLETED	0	3m 50s	3m 3s	101.3%	31.3 MB
19	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651851	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651851)	16	COMPLETED	0	39.8s	27.7s	192.1%	2.9 MB
16	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651852	SRAFetch (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651852)	16	COMPLETED	0	5m 40s	5m 28s	100.4%	31.3 MB
20	C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651852	ConcatPariedEndFiles (C. elegans WS222 > SRR651847,SRR651848,SRR651849,SRR651850,SRR651851,SRR651852 > SRR651852)	16	COMPLETED	0	59.9s	49.2s	193.7%	2.9 MB
