task_id	tag	name	cpus	status	exit	duration	realtime	%cpu	rss
10	L. lactis > SRR088759 > SRR088759	sraFetch (L. lactis > SRR088759 > SRR088759)	1	COMPLETED	0	24.2s	17.9s	98.6%	42.8 MB
27	Llactis > SRR088759 > SRR088759	catPariedEndFiles (Llactis > SRR088759 > SRR088759)	1	COMPLETED	0	9.8s	1.2s	81.2%	2.1 MB
26	T. pallidum > SRR361468 > SRR361468	sraFetch (T. pallidum > SRR361468 > SRR361468)	1	COMPLETED	0	34.8s	29.3s	98.7%	56.1 MB
29	Tpallidum > SRR361468 > SRR361468	catPariedEndFiles (Tpallidum > SRR361468 > SRR361468)	1	COMPLETED	0	9.8s	1.8s	81.1%	2.1 MB
28	E. coli K-12 MG1655 > SRR001665 > SRR001665	sraFetch (E. coli K-12 MG1655 > SRR001665 > SRR001665)	1	COMPLETED	0	1m 5s	59.4s	100.4%	11.8 MB
31	EColi > SRR001665 > SRR001665	catPariedEndFiles (EColi > SRR001665 > SRR001665)	1	COMPLETED	0	9.7s	4.7s	82.7%	2.1 MB
30	E. coli K-12 MG1655 > SRR396536 > SRR396536	sraFetch (E. coli K-12 MG1655 > SRR396536 > SRR396536)	1	COMPLETED	0	19.8s	16.3s	98.3%	36.8 MB
33	EColi > SRR396536 > SRR396536	catPariedEndFiles (EColi > SRR396536 > SRR396536)	1	COMPLETED	0	9.9s	1.4s	81.3%	2.1 MB
32	E. coli K-12 MG1655 > SRR396532 > SRR396532	sraFetch (E. coli K-12 MG1655 > SRR396532 > SRR396532)	1	COMPLETED	0	29.9s	19.1s	98.4%	37.1 MB
35	EColi > SRR396532 > SRR396532	catPariedEndFiles (EColi > SRR396532 > SRR396532)	1	COMPLETED	0	9.9s	1.6s	81.4%	2.1 MB
34	E. coli K-12 MG1655 > SRR022918 > SRR022918	sraFetch (E. coli K-12 MG1655 > SRR022918 > SRR022918)	1	COMPLETED	0	49.9s	40.6s	98.6%	32.8 MB
37	EColi > SRR022918 > SRR022918	catPariedEndFiles (EColi > SRR022918 > SRR022918)	1	COMPLETED	0	9.7s	3.7s	82.4%	2.1 MB
36	B. subtilis subtilis 168 > DRR000852 > DRR000852	sraFetch (B. subtilis subtilis 168 > DRR000852 > DRR000852)	1	COMPLETED	0	14.8s	11s	97.2%	40.3 MB
39	Bsubtilis > DRR000852 > DRR000852	catPariedEndFiles (Bsubtilis > DRR000852 > DRR000852)	1	COMPLETED	0	9.9s	1.3s	82.2%	2.1 MB
38	S. aureus MW2 > SRR022866 > SRR022866	sraFetch (S. aureus MW2 > SRR022866 > SRR022866)	1	COMPLETED	0	1m 25s	1m 21s	98.8%	42.9 MB
41	Saureus > SRR022866 > SRR022866	catPariedEndFiles (Saureus > SRR022866 > SRR022866)	1	COMPLETED	0	14.8s	8.4s	98.3%	2.1 MB
40	P. aeruginosa PAO1 > SRR396641 > SRR396641	sraFetch (P. aeruginosa PAO1 > SRR396641 > SRR396641)	1	COMPLETED	0	44.9s	35.6s	98.6%	42.1 MB
43	Paeruginosa > SRR396641 > SRR396641	catPariedEndFiles (Paeruginosa > SRR396641 > SRR396641)	1	COMPLETED	0	9.7s	2s	84.4%	2.1 MB
42	L. interrogans str. 56601 > SRR353563 > SRR353563	sraFetch (L. interrogans str. 56601 > SRR353563 > SRR353563)	1	COMPLETED	0	34.8s	28.3s	99.1%	39.8 MB
45	Linterrogans4342 > SRR353563 > SRR353563	catPariedEndFiles (Linterrogans4342 > SRR353563 > SRR353563)	1	COMPLETED	0	9.7s	2.6s	82.4%	2.1 MB
44	L. interrogans str. Fiocruz L1-130 > SRR397962 > SRR397962	sraFetch (L. interrogans str. Fiocruz L1-130 > SRR397962 > SRR397962)	1	COMPLETED	0	34.8s	25.1s	98.7%	39 MB
47	Linterrogans5823 > SRR397962 > SRR397962	catPariedEndFiles (Linterrogans5823 > SRR397962 > SRR397962)	1	COMPLETED	0	9.7s	2.7s	82.8%	2.1 MB
46	H. influenzae Rd KW20 > SRR065202 > SRR065202	sraFetch (H. influenzae Rd KW20 > SRR065202 > SRR065202)	1	COMPLETED	0	1m 10s	1m 6s	99.7%	44.5 MB
49	Hinfluenzae > SRR065202 > SRR065202	catPariedEndFiles (Hinfluenzae > SRR065202 > SRR065202)	1	COMPLETED	0	9.7s	5.2s	82.5%	2.1 MB
48	S. cerevisiae S288C > SRR352384 > SRR352384	sraFetch (S. cerevisiae S288C > SRR352384 > SRR352384)	1	COMPLETED	0	3m	2m 46s	99.6%	39.1 MB
51	Scerevisiae > SRR352384 > SRR352384	catPariedEndFiles (Scerevisiae > SRR352384 > SRR352384)	1	COMPLETED	0	19.7s	13.7s	98.6%	2.1 MB
50	C. elegans WS222 > SRR065390 > SRR065390	sraFetch (C. elegans WS222 > SRR065390 > SRR065390)	1	COMPLETED	0	3m 55s	3m 46s	99.9%	28.7 MB
53	Celegans > SRR065390 > SRR065390	catPariedEndFiles (Celegans > SRR065390 > SRR065390)	1	COMPLETED	0	29.8s	22.2s	98.5%	2.1 MB
52	D. melanogaster R6.18 > SRR018292,SRR018293,SRR018294,SRR060098 > SRR018292	sraFetch (D. melanogaster R6.18 > SRR018292,SRR018293,SRR018294,SRR060098 > SRR018292)	1	COMPLETED	0	1m 10s	1m 5s	98.7%	28.9 MB
